column,nan_percent
technologies,90.98
vacancies,84.44
salary_details,79.45
salary_currency,79.45
salary_max,79.45
salary_min,79.45
remote_recruitment,76.81
immediate_start,50.49
job_category_general,43.96
benefit_badges,38.64
benefits,6.53
job_category_narrow,6.32
work_schedule,1.88
requirements,0.06
company_id,0.05
contract_types,0.05
seniority_level,0.05
responsibilities,0.05
expiry_date,0.05
posted_date,0.0
scraping_run_id,0.0
is_active,0.0
id,0.0
location,0.0
external_id,0.0
title,0.0
url,0.0
month,0.0
