year,category_en,count
2016,Business,6102
2016,Computer Science and Telecommunications,3116
2016,Driver's license,23
2016,Ecology and agriculture,147
2016,Finance and Banking,3955
2016,Health and medicine,2949
2016,Languages,42
2016,Law and administration,2851
2016,Lifestyle,67
2016,Other,251
2016,Technical,923
2016,Transport and automotive,337
2017,Business,11381
2017,Computer Science and Telecommunications,12857
2017,Driver's license,1240
2017,Ecology and agriculture,348
2017,Finance and Banking,8745
2017,Health and medicine,7969
2017,Languages,2780
2017,Law and administration,6400
2017,Lifestyle,892
2017,Other,956
2017,Technical,3997
2017,Transport and automotive,747
2018,Business,15047
2018,Computer Science and Telecommunications,16335
2018,Driver's license,5531
2018,Ecology and agriculture,490
2018,Finance and Banking,9998
2018,Health and medicine,19410
2018,Languages,7481
2018,Law and administration,10134
2018,Lifestyle,6046
2018,Other,2480
2018,Technical,7781
2018,Transport and automotive,1330
2019,Business,20682
2019,Computer Science and Telecommunications,15471
2019,Driver's license,10890
2019,Ecology and agriculture,755
2019,Finance and Banking,11564
2019,Health and medicine,29718
2019,Languages,6329
2019,Law and administration,9185
2019,Lifestyle,7772
2019,Other,3830
2019,Technical,9066
2019,Transport and automotive,1804
2020,Business,32011
2020,Computer Science and Telecommunications,8629
2020,Driver's license,13282
2020,Ecology and agriculture,766
2020,Finance and Banking,6593
2020,Health and medicine,21433
2020,Languages,4765
2020,Law and administration,6323
2020,Lifestyle,1974
2020,Other,10704
2020,Technical,8229
2020,Transport and automotive,795
2021,Business,18413
2021,Computer Science and Telecommunications,7253
2021,Driver's license,14880
2021,Ecology and agriculture,967
2021,Finance and Banking,4275
2021,Health and medicine,14394
2021,Languages,6976
2021,Law and administration,2924
2021,Lifestyle,2723
2021,Other,6163
2021,Technical,8026
2021,Transport and automotive,1000
2022,Business,17686
2022,Computer Science and Telecommunications,7061
2022,Driver's license,7362
2022,Ecology and agriculture,971
2022,Finance and Banking,4058
2022,Health and medicine,13049
2022,Languages,5047
2022,Law and administration,3300
2022,Lifestyle,2757
2022,Other,4189
2022,Technical,7116
2022,Transport and automotive,826
2023,Business,15754
2023,Computer Science and Telecommunications,5546
2023,Driver's license,7362
2023,Ecology and agriculture,819
2023,Finance and Banking,4071
2023,Health and medicine,11231
2023,Languages,3437
2023,Law and administration,3180
2023,Lifestyle,2849
2023,Other,4497
2023,Technical,6544
2023,Transport and automotive,639
2024,Business,13009
2024,Computer Science and Telecommunications,7349
2024,Driver's license,8425
2024,Ecology and agriculture,1688
2024,Finance and Banking,4067
2024,Health and medicine,12732
2024,Languages,16308
2024,Law and administration,4062
2024,Lifestyle,3584
2024,Other,6484
2024,Technical,8934
2024,Transport and automotive,745
2025,Business,16377
2025,Computer Science and Telecommunications,9414
2025,Driver's license,20497
2025,Ecology and agriculture,2048
2025,Finance and Banking,4882
2025,Health and medicine,18136
2025,Languages,18507
2025,Law and administration,4899
2025,Lifestyle,12075
2025,Other,9266
2025,Technical,13237
2025,Transport and automotive,1615
