Year,Total_Health_Medicine,Medycyna estetyczna i kosmetologia_Count,Medycyna estetyczna i kosmetologia_Percent,Medycyna_Count,Medycyna_Percent,Psychologia i rozwój osobisty_Count,Psychologia i rozwój osobisty_Percent,Zdrowie publiczne_Count,Zdrowie publiczne_Percent,Logopedia_Count,Logopedia_Percent
2016,2949,10,0.34,122,4.14,2732,92.64,63,2.14,2,0.07
2017,7969,280,3.51,636,7.98,6801,85.34,103,1.29,50,0.63
2018,19410,3263,16.81,2503,12.9,12741,65.64,92,0.47,251,1.29
2019,29718,4990,16.79,4036,13.58,18827,63.35,92,0.31,797,2.68
2020,21433,515,2.4,9895,46.17,10443,48.72,29,0.14,97,0.45
2021,14394,5768,40.07,5172,35.93,2574,17.88,169,1.17,22,0.15
2022,13049,7138,54.7,3288,25.2,1776,13.61,148,1.13,19,0.15
2023,11231,6568,58.48,2872,25.57,1111,9.89,130,1.16,34,0.3
2024,12732,7390,58.04,2625,20.62,1544,12.13,503,3.95,32,0.25
2025,18136,10764,59.35,3415,18.83,1845,10.17,1165,6.42,144,0.79
