wojewodztwo,2019,2025,Difference,Change %
Kujawsko-pomorskie,3711,5061,1350,36.4
Mazowieckie,1191,2271,1080,90.7
Lubelskie,3959,4935,976,24.7
Pomorskie,3888,4697,809,20.8
Podkarpackie,5730,6534,804,14.0
Opolskie,1872,2043,171,9.1
Świętokrzyskie,3641,3802,161,4.4
Inne,18,0,-18,-100.0
Warmińsko-mazurskie,3809,3281,-528,-13.9
Wielkopolskie,8842,7446,-1396,-15.8
Małopolskie,17375,15715,-1660,-9.6
Lubuskie,2841,1135,-1706,-60.0
Śląskie,16252,14524,-1728,-10.6
Dolnośląskie,9199,6635,-2564,-27.9
Zachodniopomorskie,5608,2643,-2965,-52.9
Podlaskie,6574,2618,-3956,-60.2
Łódzkie,10561,3929,-6632,-62.8
Mazowieckie regionalny,18049,6504,-11545,-64.0
